Class,Alcohol
1,14.23
1,13.2
1,13.16
1,14.37
1,13.24
1,14.2
1,14.39
1,14.06
1,14.83
1,13.86
1,14.1
1,14.12
1,13.75
1,14.75
1,14.38
1,13.63
1,14.3
1,13.83
1,14.19
1,13.64
1,14.06
1,12.93
1,13.71
1,12.85
1,13.5
1,13.05
1,13.39
1,13.3
1,13.87
1,14.02
1,13.73
1,13.58
1,13.68
1,13.76
1,13.51
1,13.48
1,13.28
1,13.05
1,13.07
1,14.22
1,13.56
1,13.41
1,13.88
1,13.24
1,13.05
1,14.21
1,14.38
1,13.9
1,14.1
1,13.94
1,13.05
1,13.83
1,13.82
1,13.77
1,13.74
1,13.56
1,14.22
1,13.29
1,13.72
2,12.37
2,12.33
2,12.64
2,13.67
2,12.37
2,12.17
2,12.37
2,13.11
2,12.37
2,13.34
2,12.21
2,12.29
2,13.86
2,13.49
2,12.99
2,11.96
2,11.66
2,13.03
2,11.84
2,12.33
2,12.7
2,12
2,12.72
2,12.08
2,13.05
2,11.84
2,12.67
2,12.16
2,11.65
2,11.64
2,12.08
2,12.08
2,12
2,12.69
2,12.29
2,11.62
2,12.47
2,11.81
2,12.29
2,12.37
2,12.29
2,12.08
2,12.6
2,12.34
2,11.82
2,12.51
2,12.42
2,12.25
2,12.72
2,12.22
2,11.61
2,11.46
2,12.52
2,11.76
2,11.41
2,12.08
2,11.03
2,11.82
2,12.42
2,12.77
2,12
2,11.45
2,11.56
2,12.42
2,13.05
2,11.87
2,12.07
2,12.43
2,11.79
2,12.37
2,12.04
3,12.86
3,12.88
3,12.81
3,12.7
3,12.51
3,12.6
3,12.25
3,12.53
3,13.49
3,12.84
3,12.93
3,13.36
3,13.52
3,13.62
3,12.25
3,13.16
3,13.88
3,12.87
3,13.32
3,13.08
3,13.5
3,12.79
3,13.11
3,13.23
3,12.58
3,13.17
3,13.84
3,12.45
3,14.34
3,13.48
3,12.36
3,13.69
3,12.85
3,12.96
3,13.78
3,13.73
3,13.45
3,12.82
3,13.58
3,13.4
3,12.2
3,12.77
3,14.16
3,13.71
3,13.4
3,13.27
3,13.17
3,14.13
